,SMILES,measurement_type,measurement_value,Kinase_name
1819,C=C(C)C1CCC(C)C(N(C)c2ncnc3[nH]ccc23)C1,pIC50,8.7,JAK1
7313,c1cc2c(ncn3nnc(C4CCC(CNC5CSC5)CC4)c23)[nH]1,pIC50,6.28,JAK3
3873,CN(c1ncnc2[nH]ccc12)C1CCC(CS(=O)(=O)N2CCCC(Cc3ccccn3)C2)CC1,pIC50,7.95,JAK3
336,C=CC(=O)N1CCCC1Cn1c(NC(=O)c2ccc(C(F)F)s2)nc2cc(CNC(C)C(C)(C)C)ccc21,pIC50,7.52,JAK3
403,CSc1ncc(-c2cnc3[nH]ccc3n2)c(NC2CCCN(S(=O)(=O)CCC(C)(C)C)C2)n1,pKi,11.92,JAK1
5303,CS(=O)(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,11.27,JAK3
1207,COCC(C)Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)N1CCN(C)CC1)n2C,pIC50,6.9,JAK3
496,CC(C)(C)OC(=O)N1CCC(n2cc(C(N)=O)c(Nc3ccccc3)n2)C(C#N)C1,pIC50,6.3,JAK2
4648,CNC(=O)c1ccc(Nc2ncc3c(n2)CCN(c2cc(NC(=O)c4cc(C(F)(F)F)ccn4)ccc2Cl)C3)cc1,pIC50,8.19,JAK2
4874,COCCNc1ncc(-c2cnc3[nH]ccc3n2)c(NC2CCCN(S(C)(=O)=O)C2)n1,pKi,11.27,JAK3
10205,O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)C(Cl)Cl,pIC50,6.3,JAK1
1218,CNc1nc2c(cc(C(=O)N(C3CC3)C3CC3)n2CC(C)O)c2c1ncn2C,pIC50,6.29,JAK3
3823,CN(c1ncnc2[nH]ccc12)C1CCC(CS(=O)(=O)N2CCC(Cc3ncccn3)CC2)CC1,pIC50,7.75,JAK2
10107,O=c1[nH]ccc(NC2CCOCC2)c1-c1nc2ccccc2[nH]1,pIC50,8.7,JAK1
1482,CC1(O)CC(Nc2c(C(N)=O)cnn3cccc23)C(C)(C)C1,pIC50,7.82,JAK1
6606,Cn1cc(-c2cncc(Nc3nn(C4CCCCC4C#N)cc3C(N)=O)c2)cn1,pIC50,7.14,JAK2
3985,CN(c1ccccc1CNc1cccn2nc(Nc3ccc(OCCN4CCCC4)cc3)nc12)S(C)(=O)=O,pIC50,6.46,JAK1
9345,O=C1Nc2cccc(c2)CNc2nc(ncc2Cl)Nc2cccc1c2,pIC50,7.68,JAK1
2684,C=C(Br)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,pIC50,10.37,JAK3
2944,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(NC(=O)NCCOC)nc21,pIC50,6.54,TYK2
1377,CC(O)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,pKi,7.68,JAK2
1981,CC1CN(C(=O)C2(C#N)CC2)CC1Nc1c(C(N)=O)cnn2cc(-c3ccc4c(cnn4C)c3)nc12,pIC50,9.1,JAK1
9177,O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1,pIC50,9.0,TYK2
4932,COc1cc(Nc2nc3cccc(-c4ccc(C(=O)N5CCOCC5)cc4)c3o2)cc(OC)c1OC,pIC50,6.96,TYK2
7279,OC12CC3CC(C1)C(NCC1CCC(c4nnn5cnc6[nH]ccc6c45)CC1)C(C3)C2,pIC50,6.57,JAK2
2639,CCOC(=O)c1c[nH]c2ncnc(-c3ccc4c(c3)CCN4)c12,pIC50,7.46,JAK2
4085,CN1CCC(c2ccc(Nc3nc4c(NCc5ccccc5N(C)S(C)(=O)=O)cccn4n3)cc2)CC1,pIC50,7.41,JAK2
8923,O=C(Nc1nc2cccc(-c3ccc(CN4CCC(F)(F)CC4)cc3)n2n1)C1CC1,pIC50,7.81,JAK2
645,CC(C)(C)OC(=O)N1CCC(CNCC2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)CC1,pIC50,6.15,TYK2
1941,CC1CCN(C(=O)CC#N)CC1c1ncc2cnc3[nH]ccc3n12,pKi,9.1,JAK2
3673,CN(c1ncnc2[nH]ccc12)C1CC2CN(CC(F)(F)F)CC2C1,pIC50,7.49,JAK2
5118,COC(=O)Cc1ccc(OC)c(-c2c[nH]c3ncnc(-c4ccccc4)c23)c1,pIC50,7.03,JAK2
7238,O=C1CN(CC2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)CCN1,pIC50,7.62,JAK1
2060,CC=CC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,pIC50,8.7,JAK1
3936,COc1nc(N(C)C2CCN(c3ncnc4[nH]ccc34)C2)ccc1C#N,pIC50,10.26,JAK2
4244,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,pIC50,7.4,JAK2
1297,CC(Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NCCCn1ccnc1)n2C)c1ccccc1,pIC50,7.17,JAK3
4128,CN1CCC2(C1)CN(C(=O)Cn1cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n1)C2,pKi,8.86,JAK2
1597,CC1(O)CCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,pKi,9.09,JAK2
4868,COCCNCCn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1,pKi,9.05,JAK1
1818,CC1CCC(n2c(=O)[nH]c3cnc4[nH]ccc4c32)CC1,pIC50,7.38,JAK3
7243,c1cc2c(ncn3nnc(C4CCC(CN5CCOCC5)CC4)c23)[nH]1,pIC50,6.19,JAK3
7962,N#Cc1cccc(CN2CCC(Nc3c(C(N)=O)cnc4[nH]ccc34)CC2)c1,pIC50,7.6,JAK1
8096,O=C(c1ccc(F)cc1)N1CCc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC(F)(F)F)ccc34)nc2C1,pIC50,8.17,JAK1
4470,CN1CCN(c2cccc(Nc3nc4c(Nc5ccccc5S(C)(=O)=O)cccn4n3)c2)CC1,pIC50,7.54,JAK2
9408,Clc1cnc2nc1NCCc1cccc(c1)OCc1cccc(c1)N2,pIC50,6.52,JAK3
6098,Cc1ccc(-c2cnc3[nH]ccc3n2)c(NC2CCCN(S(=O)(=O)CC3CC3)C2)n1,pIC50,9.78,JAK2
2999,CCn1cc(-c2cn3ncc(C(N)=O)c(NC4CCN(c5ccc(C#N)nn5)CC4(C)C)c3n2)cn1,pIC50,9.52,JAK1
9275,Fc1cnc2nc1-c1cccc(c1)COCC=CCOCc1cc(ccc1OCCN1CCCC1)N2,pIC50,6.08,JAK1
6079,CC(=O)N1CCCC(Nc2nc(C)ccc2-c2cnc3[nH]cc(Cl)c3n2)C1,pKi,10.45,JAK1
8552,N#CCC1(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CCN(c2ccc(F)nc2)CC1,pIC50,9.4,JAK1
6877,N#CCN1CN(C2CCC(CNCC(F)(F)F)CC2)c2c(cnc3[nH]ccc23)C1=O,pIC50,8.66,JAK1
10610,O=C(Nc1cn(CC(=O)N2CCC3CNCCC32)nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12,pKi,8.92,JAK2
4082,CN1CCC(OC(=O)N2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccccc4)n3)CC2)CC1,pIC50,6.1,JAK2
9651,c1ccc(CN2CCC(n3cnc4cnc5[nH]ccc5c43)CC2)cc1,pKi,7.07,TYK2
6645,Cn1ccc2ncc(-c3cccnc3NC3CCCN(S(C)(=O)=O)C3)nc21,pKi,8.79,JAK1
5442,CS(=O)(=O)N1CCc2oc(-c3nc(Nc4ccc(OCCN5CCCC5)cc4)ncc3F)cc2C1,pIC50,7.26,JAK2
6912,N#CCN1CN(C2CCCCC2)c2c(cnc3[nH]ccc23)C1=O,pIC50,7.62,JAK2
1704,CN1C(=O)c2ccc(Nc3nn(C(CC#N)C4CC4)cc3C(N)=O)cc2C1(C)C,pIC50,6.65,JAK2
1353,CC(Nc1ccnc(-n2cnc3ccncc32)n1)c1ccccc1,pIC50,7.68,JAK1
1756,CC1CC(CS(=O)(=O)N2CCC(CO)CC2)CCC1N(C)c1ncnc2[nH]ccc12,pIC50,8.13,JAK3
7317,N#CCNCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,6.57,JAK3
10569,O=C(Nc1cn(CC(=O)N2CCC(N3CCCC3)CC2)nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12,pKi,9.07,JAK1
2326,CCCS(=O)(=O)NC1CCC(N(C)c2ncnc3[nH]ccc23)C1,pIC50,7.54,JAK1
1888,CC1CCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)CC1,pIC50,7.79,JAK3
9756,Nc1n[nH]c2ccc(-c3nnn(Cc4ccccc4)c3-c3ccc(F)cc3)cc12,pKi,6.5,JAK3
381,Cn1c(C(=O)NCCN2CCCC2)cc2c(-c3ccc(NC(=O)C(C)(C)C)cc3)ncnc21,pIC50,6.02,JAK1
6473,Cc1nc2cnc3[nH]ccc3c2n1C1CCNCC1,pKi,6.7,JAK2
7635,O=C(Nc1ccnc(Nc2cccnn2)c1)c1c(Cl)cccc1Cl,pKi,8.0,TYK2
1475,CC1(C)C(O)CCC1Nc1c(C(N)=O)cnn2cccc12,pIC50,7.66,JAK2
3570,CN(c1ncnc2[nH]ccc12)C1CC(CS(=O)(=O)CCC2CC2)C1,pIC50,7.85,JAK1
380,Cn1c(C(=O)NCCN2CCCC2)cc2c(-c3ccc(NC(=O)C(C)(C)C)cc3)ncnc21,pIC50,8.1,JAK2
7106,ClCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,9.0,JAK2
1250,CC(Nc1ccnc(-n2cnc3ccncc32)n1)c1ccc(F)cc1,pIC50,8.1,JAK2
4397,C=CC(=O)Nc1cccc(CN2C(=O)NCc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)c1,pIC50,9.05,JAK3
3426,CN(CC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1)c1ccc(F)cc1,pIC50,6.82,JAK2
42,C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CCO)c3)ncc2Cl)c1,pIC50,7.96,JAK1
7414,NC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,7.8,JAK1
9142,NC1CCCCC1Nc1nccc(-c2c[nH]c3ncccc23)n1,pKi,6.1,JAK2
4901,COCN1CN(C2CCC(CNCC(F)F)CC2)c2c(cnc3[nH]ccc23)C1=O,pIC50,7.25,JAK3
8714,N#CC1CN(C(=O)OC2CCOC2)CCC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,pIC50,7.92,JAK1
3871,CN(c1ncnc2[nH]ccc12)C1CCC(CS(=O)(=O)N2CCCC(Cc3ccccn3)C2)CC1,pIC50,7.48,JAK2
8647,N#CC1CC(NCC(F)F)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)F)cc2)n1,pIC50,8.3,JAK2
2394,CCN(Cc1ccccc1)c1cc(-c2c(N)nn3cccnc23)ncn1,pIC50,7.47,JAK2
7762,Nc1ccn2ncc(C(=O)Nc3c[nH]nc3-c3cc(Cl)ccc3Cl)c2n1,pKi,10.0,JAK2
10410,Nc1nn2cccnc2c1C(=O)Nc1cn(CC(=O)N2CCNCC2)nc1-c1cc(Cl)ccc1OC(F)F,pKi,9.14,JAK1
3292,CN(c1ncnc2[nH]ccc12)C1CCC(CS(=O)(=O)N2CCCC(CS(=O)(=O)N(C)C)C2)CC1,pIC50,8.11,JAK1
8835,O=C(O)c1cc(-c2nc(-c3ccc(F)cc3)c(-c3cc[nH]c(=O)c3)[nH]2)ccc1O,pIC50,8.68,JAK3
2424,CCN1CCN(Cc2ccc(Nc3nccc(-c4ccc(C(=O)NCC#N)cc4)n3)cc2)CC1,pIC50,6.82,JAK1
3480,CN(CCOc1ccc(Cl)cc1)C1CCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,pKi,8.6,JAK2
1279,CC(c1ccccc1)N1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,7.77,JAK1
5100,COc1ccc(Cl)cc1-c1nn(CC(O)(C(F)(F)F)C(F)(F)F)cc1NC(=O)c1cnn2cccnc12,pKi,7.51,TYK2
5376,CS(=O)(=O)N1CCCC(Nc2nc(N3CCC(CC(N)=O)CC3)ncc2-c2cnc3[nH]ccc3n2)C1,pKi,11.58,JAK3
218,CC(=O)OCC(=O)N1CCCC12CCCN(c1ncnc3[nH]ccc13)C2,pIC50,6.64,JAK3
4441,CN1CCN(c2ccc3c(c2)[nH]c2c(C(N)=O)cc(-c4cccc(Cl)c4)cc23)CC1,pIC50,8.54,JAK2
4867,COCCNCCn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1,pKi,9.24,JAK2
6146,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1CCc2nc(Nc3ccc(C(=O)NCCCN4CCCC4)cc3)ncc2C1=O,pIC50,7.77,JAK2
10464,O=C(Nc1ccnn1-c1ccc(Cl)cc1)c1cnn2cccnc12,pKi,6.8,JAK1
788,CC(C)(O)CNc1ncc(-c2cnc3[nH]ccc3n2)c(NC2CCCN(S(C)(=O)=O)C2)n1,pKi,10.7,JAK1
659,CC(C)(C)OC(=O)N1CCC(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,pIC50,6.67,JAK3
864,CC(C)C(=O)N1CCC2CC(N(C)c3ncnc4[nH]ccc34)CC2C1,pIC50,6.9,JAK2
846,CC(C)(c1ccc(Nc2nn(C3CCCCC3C#N)cc2C(N)=O)cc1F)C(O)C(F)(F)F,pIC50,8.7,JAK1
10466,NC(=O)CCCN1CCC(n2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,pKi,9.6,JAK2
2070,CCC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,10.0,JAK1
8187,Nc1ncnc2c1N=C(c1ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc1)CCN2,pKi,6.3,JAK2
7701,N#Cc1ccc(NC2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c(F)c1,pIC50,6.74,TYK2
6225,Cc1cc(NC(=O)c2cnn3cccnc23)n(-c2cc(C#N)ccc2C)n1,pKi,6.88,TYK2
10702,O=C(Nc1cn(CCNC2CCOC2)nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12,pKi,9.41,JAK2
1785,CC1CC(Nc2nc(N3CCN(C)CC3)ncc2-c2cnc3[nH]ccc3n2)CN(S(=O)(=O)CC#N)C1,pKi,11.68,JAK3
3837,CN(c1ncnc2[nH]ccc12)C1CCC(CS(=O)(=O)N2CCC(c3nc(CS(C)(=O)=O)no3)CC2)CC1,pIC50,8.08,JAK3
4027,CN1CC2CN(C(=O)c3nc(-c4cc(Cl)ccc4OC(F)F)c(NC(=O)c4cnn5cccnc45)s3)CC2C1,pKi,8.57,JAK1
487,CC(C)(C)OC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(C(=O)N4CCS(=O)(=O)CC4)cc3)n2)C1,pIC50,8.7,JAK1
10585,O=C(Nc1cn(CC(=O)N2CCC(NC3CCC3)CC2)nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12,pKi,9.04,JAK1
6440,Cc1nsc(NC(=O)N2CC3CC(N(C)c4ccnc5[nH]ccc45)CC3C2)n1,pIC50,6.85,JAK2
8946,N#CCC1(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CCN(c2cccc(CF)n2)CC1,pIC50,7.41,JAK2
7054,N#CCCNC(=O)C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,8.44,JAK1
7381,Fc1cc(NCC2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc(F)c1F,pIC50,7.51,JAK1
2128,CCC1(NC(=O)OCc2ccccc2)CCCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)C1,pIC50,7.14,JAK2
9379,C1=CCOCc2cncc(c2)-c2ccnc(n2)Nc2cccc(c2)COC1,pIC50,6.03,JAK2
9434,N#Cc1ccccc1-c1cc2c(NC3CCOCC3)c(C(N)=O)cnn2c1,pIC50,7.4,JAK1
7528,Brc1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,pIC50,8.82,JAK1
9898,N#CCC1(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCN(Cc2cccc(O)c2)CC1,pIC50,9.52,JAK1
2853,CCc1nc(Nc2ccc(N3CCOCC3)c(Cl)c2)nc2[nH]ccc12,pKi,6.4,JAK2
1881,CC1CCN(C(=O)CC#N)C12CCCN(c1ncnc3[nH]ccc13)C2,pIC50,7.85,JAK3
