,SMILES,measurement_type,measurement_value,Kinase_name
444,CNC(=O)c1cnc(N)c2cc(-c3ccc(S(=O)(=O)NC(C)(C)C)cc3)sc12,pIC50,7.52,JAK1
448,CC(C)(C)NS(=O)(=O)c1ccc(-c2cc3c(N)ncc(C(=O)NCCCN4CCOCC4)c3s2)cc1,pIC50,6.69,JAK1
452,CC(C)(C)NS(=O)(=O)c1ccc(-c2cc3c(N)ncc(C(=O)NCCN4CCCCC4)c3s2)cc1,pIC50,8.3,JAK2
460,CC(C)(C)NS(=O)(=O)c1ccc(-c2cc3c(N)ncc(C(=O)NCCO)c3s2)cc1,pIC50,6.03,TYK2
464,CC(C)(C)NS(=O)(=O)c1cccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1,pIC50,9.19,JAK2
466,CN1CCN(C(=O)c2cc3c(NC(C)(C)C)nc(-n4cnc5ccncc54)nc3n2C)CC1,pIC50,6.49,JAK2
468,CN1CCN(C(=O)c2cc3c(NC(C)(C)C)nc(-n4cnc5ccncc54)nc3n2C)CC1,pIC50,6.7,JAK3
472,CC(C)(C)OC(=O)C1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C(C#N)C1,pIC50,7.77,JAK1
473,CC(C)(C)OC(=O)C1CCC(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)C(C#N)C1,pIC50,6.36,JAK2
475,CC(C)(C)OC(=O)C1CCC(C#N)C(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,pIC50,7.3,JAK2
483,CN(C(=O)OC(C)(C)C)C1CCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)C1,pIC50,8.16,JAK3
485,CC(C)(C)OC(=O)N1CC(CC#N)(NCC2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)C1,pIC50,6.72,JAK1
492,CN(CC1C2CN(C(=O)OC(C)(C)C)CC21)c1ncnc2[nH]ccc12,pIC50,7.05,JAK1
495,CC(C)(C)OC(=O)N1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C(C#N)C1,pIC50,7.57,JAK1
512,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(S(C)(=O)=O)cc3)n2)C1,pIC50,9.7,JAK1
517,CC(C)(C)OC(=O)N1CCC(NCC2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)C1,pIC50,7.54,JAK1
523,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3cc(F)ccn3)n2)CC1,pIC50,6.04,JAK2
528,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3cncc(F)c3)n2)CC1,pIC50,9.0,JAK1
532,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3cc(F)ncn3)n2)CC1,pIC50,9.0,JAK1
539,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(Br)cc3)n2)CC1,pIC50,7.64,JAK2
540,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(Br)cc3)n2)CC1,pIC50,9.3,JAK1
541,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(C#N)cc3)n2)CC1,pIC50,8.22,JAK2
546,CN(C)C(=O)c1ccc(Nc2nn(C3(CC#N)CCN(C(=O)OC(C)(C)C)CC3)cc2C(N)=O)cc1,pIC50,9.15,JAK1
549,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(C(=O)N4CCS(=O)(=O)CC4)cc3)n2)CC1,pIC50,9.0,JAK2
553,COC(=O)c1ccc(Nc2nn(C3(CC#N)CCN(C(=O)OC(C)(C)C)CC3)cc2C(N)=O)cc1,pIC50,8.05,JAK2
561,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CC1,pIC50,7.68,JAK2
562,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CC1,pIC50,9.1,JAK1
564,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)CC1,pIC50,8.7,JAK1
567,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(S(C)(=O)=O)cc3)n2)CC1,pIC50,9.0,JAK2
571,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(S(N)(=O)=O)cc3)n2)CC1,pIC50,9.0,JAK2
575,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(F)cn3)n2)CC1,pIC50,6.74,JAK2
577,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(C#N)nc3)n2)CC1,pIC50,8.22,JAK2
584,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(N4CCOCC4)nc3)n2)CC1,pIC50,9.1,JAK1
591,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3cccc(Cn4ccnc4)c3)n2)CC1,pIC50,7.96,JAK2
595,COc1ccc(-c2cccc(Nc3nn(C4(CC#N)CCN(C(=O)OC(C)(C)C)CC4)cc3C(N)=O)c2)cc1,pIC50,6.02,JAK2
599,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3cccc(-c4ccccc4O)c3)n2)CC1,pIC50,6.74,JAK2
604,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,pIC50,9.0,JAK1
605,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccn3)n2)CC1,pIC50,6.33,JAK2
606,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccn3)n2)CC1,pIC50,8.1,JAK1
610,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3cccnn3)n2)CC1,pIC50,7.59,JAK1
612,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(C#N)c3)n2)CC1,pIC50,9.7,JAK1
614,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(C(N)=O)c3)n2)CC1,pIC50,9.4,JAK1
630,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccncn3)n2)CC1,pIC50,8.52,JAK1
632,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnnc3)n2)CC1,pIC50,9.4,JAK1
636,CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3cnccn3)n2)CC1,pIC50,8.1,JAK1
637,CC(C)(C)OC(=O)N1CCC(C(C)(CC#N)n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,pIC50,6.63,JAK2
638,CC(C)(C)OC(=O)N1CCC(C(C)(CC#N)n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,pIC50,8.3,JAK1
644,CC(C)(C)OC(=O)N1CCC(CNCC2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)CC1,pIC50,7.54,JAK1
648,CC(C)(C)OC(=O)N1CCC(c2ccc(Nc3nc4c(-c5ccc(C#N)cc5)cccn4n3)cc2)CC1,pIC50,7.21,JAK2
655,COc1cccc(-c2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)c1OC,pIC50,6.49,JAK2
661,CC(C)(C)OC(=O)N1CCC(n2cc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)cn2)CC1,pIC50,7.68,JAK1
662,CC(C)(C)OC(=O)N1CCC(n2cc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)cn2)CC1,pIC50,7.68,JAK3
672,Cn1c(C(=O)NCCN2CCCC2)cc2c(-c3ccc(NC(=O)C4CCCN4C(=O)OC(C)(C)C)cc3)ncnc21,pIC50,6.15,JAK3
687,Cn1ncc2c(-c3cccn4nc(Nc5ccc6c(c5)CCN(C(=O)OC(C)(C)C)CC6)nc34)cccc21,pIC50,7.78,JAK2
693,CC(C)(C)OC(=O)NC1CCC(C#N)C(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,pIC50,7.7,JAK2
697,CC(C)(C)OC(=O)NC1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,pIC50,6.57,JAK2
700,CC(C)(C)OC(=O)NC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,7.49,JAK1
708,CC(C)(C)OC(=O)NCC1CCC(C#N)C(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,pIC50,6.36,JAK2
709,CC(C)(C)OC(=O)NCC1CCC(C#N)C(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,pIC50,7.68,JAK1
717,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,pIC50,9.0,TYK2
725,CC(C)(C)c1nc2c3cc[nH]c(=O)c3c3cc(F)ccc3c2[nH]1,pKi,7.4,JAK3
731,CNC(=O)c1cnc(N)c2cc(-c3ccc(C(C)(C)C)cc3)sc12,pIC50,6.73,JAK3
737,CC(C)(C)c1ccc2[nH]c(-c3n[nH]c4ccccc34)nc2c1,pKi,6.4,JAK3
752,CC(C)(O)C1CCN(CC2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)CC1,pIC50,6.03,TYK2
757,CC(C)(O)C1CN(C(=O)C2CCC(n3cc(C(N)=O)c(Nc4ccc(Cl)cc4)n3)C(C#N)C2)C1,pIC50,8.05,JAK1
761,CC(C)(O)C1CN(C2CCC(n3cc(C(N)=O)c(Nc4ccc(Cl)cc4)n3)C(C#N)C2)C1,pIC50,9.22,JAK1
769,CC(C)(CF)c1ccc(Nc2nn(C3CCC(O)CC3C#N)cc2C(N)=O)cc1,pIC50,8.22,JAK2
772,CN(C)CC(C)(C)COC(=O)N1CCC(C#N)C(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,pIC50,7.8,JAK1
777,CC(C)(O)CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,pIC50,8.58,JAK2
779,CC(C)(O)CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,pIC50,6.96,JAK3
785,CC(C)(C#N)CNC1CCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,pKi,9.57,JAK1
787,CC(C)(O)CNc1ncc(-c2cnc3[nH]ccc3n2)c(NC2CCCN(S(C)(=O)=O)C2)n1,pIC50,9.75,JAK2
789,CC(C)(O)CNc1ncc(-c2cnc3[nH]ccc3n2)c(NC2CCCN(S(C)(=O)=O)C2)n1,pIC50,10.4,JAK3
796,CC(C)(C#N)COC(=O)N1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C(C#N)C1,pIC50,7.82,JAK1
802,COCC(C)(C)N(C)C1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1,pIC50,8.7,JAK1
816,CN(c1ncnc2[nH]ccc12)C1CC2CN(C(=O)Nc3nc(OCC(C)(C)O)ns3)CC2C1,pIC50,8.3,JAK2
817,CN(c1ncnc2[nH]ccc12)C1CC2CN(C(=O)Nc3nc(OCC(C)(C)O)ns3)CC2C1,pIC50,9.52,JAK1
820,CN(c1ncnc2[nH]ccc12)C1CC2CN(C(=O)Oc3nc(OCC(C)(C)O)ns3)CC2C1,pIC50,9.52,JAK1
828,C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CC(C)(C)O)c3)ncc2Cl)c1,pIC50,9.22,JAK3
832,CC(C)(C(=O)O)c1ccc(Nc2nn(C3CCC(N4CCC4)CC3C#N)cc2C(N)=O)cc1,pIC50,9.52,JAK1
837,CC(C)(C(=O)NCC(F)(F)F)c1ccc(Nc2nn(C3CCCCC3C#N)cc2C(N)=O)cc1,pIC50,9.18,JAK2
852,CC(C)(O)c1cccc(N2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccc(F)cc4)n3)CC2)n1,pIC50,9.52,JAK1
855,CC(C)(O)c1cn(CC2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)nn1,pIC50,6.23,JAK3
858,CC(C)(O)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,pKi,7.12,JAK2
860,CC(C)C(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,9.77,JAK2
861,CC(C)C(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,9.75,JAK1
867,CC(C)C(=O)N1CCCC12CCN(c1ncnc3[nH]ccc13)C2,pIC50,6.24,JAK1
869,CC(C)C(O)C(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1,pIC50,7.1,JAK2
873,CC(C)C(Nc1ncc(C(N)=O)c2[nH]c3cc(-c4cnn(C)c4)ccc3c12)C(F)(F)F,pIC50,6.25,JAK3
875,CC(C)C(C)NC(=O)c1c[nH]c2ncc(C3CC3)nc12,pIC50,8.11,JAK1
885,CC(C)C(C)n1cc(-c2cc(N3CCOCC3)n(C)n2)c2[nH]nc(N)c2c1=O,pIC50,9.26,JAK2
886,CC(C)C(C)n1cc(-c2cc(N3CCOCC3)n(C)n2)c2[nH]nc(N)c2c1=O,pIC50,8.55,JAK1
898,CC(C)C(C)n1cc(-c2ccn(C)n2)c2[nH]nc(N)c2c1=O,pIC50,8.19,JAK1
900,CC(C)C(C)n1cc(-c2ccn(C)n2)c2[nH]nc(N)c2c1=O,pIC50,8.19,JAK3
902,CC(C)C(Nc1ncc(C(N)=O)c2[nH]c3cc(-c4cnn(C)c4)ccc3c12)C1CC1,pIC50,6.68,JAK1
905,CC(C)C(CC#N)n1cc(C(N)=O)c(Nc2ccccc2)n1,pIC50,7.19,JAK1
906,CC(C)C(CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,pIC50,6.08,JAK2
907,CC(C)C(Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,pIC50,9.22,JAK2
916,CC(C)CCS(=O)(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,9.55,JAK1
936,CC(C)COC(=O)N1CCC(C#N)C(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,pIC50,7.12,JAK2
944,CC(C)COc1cccc(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c1,pIC50,6.47,JAK1
948,CC(C)CS(=O)(=O)N1CC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CC(C(F)(F)F)C1,pIC50,9.87,JAK3
950,CC(C)CS(=O)(=O)N1CCC(O)C(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,10.05,JAK2
953,CC(C)CS(=O)(=O)N1CCC(O)C(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,11.68,JAK3
955,CC(C)CS(=O)(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,9.23,JAK1
957,CC(C)CS(=O)(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,9.23,JAK3
967,CC(C)CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,10.69,JAK3
968,CC(C)CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,10.98,JAK3
970,CC(C)CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ncc3n2)C1,pKi,9.83,JAK1
973,CC(C)CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3cc[nH]c3n2)C1,pIC50,9.72,JAK2
975,CC(C)CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3cc[nH]c3n2)C1,pIC50,9.72,JAK3
